20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
89.3,118.9,93.2,59.2,68.9
142.8,89.5,54.2,54.4,44.8
125.7,91.3,141.2,55.8,39.6
151.4,89.9,63.9,78.0,71.4
83.9,88.9,54.8,66.1,55.7
165.7,78.4,73.3,54.3,28.8
94.1,68.9,56.5,40.1,71.1
75.4,72.8,62.4,82.0,55.5
88.5,60.5,42.0,59.9,81.0
126.2,131.0,73.6,41.1,57.8
88.0,90.4,55.9,71.5,63.7
132.5,95.4,79.5,41.5,53.4
145.7,99.8,84.5,63.6,46.6
63.0,72.2,95.2,77.1,55.1
101.9,97.2,74.9,47.9,40.9
113.3,118.1,67.5,52.3,70.1
81.9,126.9,96.7,64.8,38.9
136.2,62.0,110.1,56.1,43.8
68.9,80.6,77.3,102.0,17.5
71.6,111.4,106.4,19.4,40.2
170.7,146.8,76.7,74.4,33.4
116.8,117.7,56.9,58.1,31.8
63.9,69.6,40.1,59.7,52.5
145.9,83.5,66.8,54.0,58.5
126.9,60.5,36.9,51.8,53.1
172.2,84.7,75.1,62.8,37.3
116.4,74.2,117.2,35.7,37.0
82.0,96.7,55.1,57.8,42.5
161.5,88.4,83.6,51.4,73.1
79.7,56.0,68.3,57.8,49.4
22.8,63.5,60.4,49.7,39.2
70.7,110.1,63.0,75.2,34.9
170.7,73.9,43.2,54.7,65.1
94.3,86.3,76.0,69.7,34.1
191.6,103.7,67.1,50.8,49.8
82.6,72.8,82.7,46.7,41.5
130.6,75.3,69.9,60.2,61.5
66.8,181.5,70.6,77.7,37.4
78.7,81.9,70.5,66.5,66.5
73.9,50.9,89.5,36.0,33.8
98.1,95.0,72.6,52.1,41.9
121.9,67.9,62.7,48.7,49.8
97.4,101.3,54.5,47.4,39.2
161.7,113.7,89.0,44.2,25.0
109.3,188.0,105.9,88.9,42.8
138.5,84.3,54.1,59.7,51.8
102.8,41.0,55.8,41.6,48.6
87.4,60.5,72.1,48.7,26.6
107.4,69.7,74.4,84.8,68.6
72.0,118.6,66.0,51.4,24.2
95.1,130.3,121.0,46.3,59.5
89.9,86.3,117.2,50.7,57.4
83.8,54.0,50.0,75.8,42.7
74.4,60.9,66.2,47.0,37.9
132.6,76.2,73.0,31.4,52.9
81.2,84.0,80.0,58.2,63.7
96.9,92.5,47.8,33.2,50.2
177.8,25.7,68.4,60.6,29.9
98.2,109.9,83.0,54.1,55.7
80.1,80.3,78.1,77.6,78.0
146.4,110.8,37.2,57.3,45.0
78.8,69.5,103.9,64.8,43.4
123.7,170.2,61.6,74.3,35.0
51.7,94.7,67.4,59.0,55.6
104.0,107.3,87.9,50.5,13.2
92.4,60.6,81.0,76.8,47.9
80.2,64.0,55.9,49.4,47.8
86.5,114.6,95.5,62.5,61.2
96.3,104.8,68.7,47.7,34.2
75.4,130.7,59.0,51.1,28.3
93.4,74.1,69.6,72.2,25.4
111.0,119.1,76.4,54.5,45.9
61.1,106.3,53.5,59.5,48.0
104.9,58.0,63.4,43.8,17.5
85.1,84.3,99.0,56.5,36.0
109.6,86.7,92.2,53.0,42.0
187.4,86.9,73.9,61.0,54.5
95.1,97.3,89.2,47.0,57.9
110.3,133.7,65.9,77.5,44.0
127.8,131.0,38.5,93.1,47.0
159.7,88.8,55.7,53.7,33.7
69.9,89.3,60.8,82.0,32.8
116.3,56.0,99.1,61.0,77.9
107.9,76.3,54.9,59.5,31.8
88.4,91.4,69.0,61.7,66.8
88.2,70.7,45.9,60.9,78.1
89.5,87.3,71.7,53.2,33.8
81.0,106.3,55.2,60.5,53.2
82.8,89.8,58.9,56.3,43.7
168.1,119.6,64.4,45.3,38.0
119.3,142.2,54.0,49.0,61.8
73.5,81.5,67.5,66.7,52.7
28.0,146.4,56.5,93.4,39.5
111.6,84.3,73.9,69.8,41.7
86.4,91.6,84.6,47.4,61.2
77.7,124.2,78.5,47.0,35.0
113.0,77.1,62.6,56.0,61.1
91.6,115.5,95.1,60.2,38.3
146.9,73.5,59.9,42.9,64.1
72.9,111.1,42.9,53.9,42.3
65.2,85.1,55.0,76.9,32.2
66.8,69.0,69.9,58.8,48.4
120.6,82.5,61.6,39.8,44.8
19.5,70.3,50.0,72.4,45.9
101.1,72.1,66.7,55.3,54.6
97.1,179.0,54.9,38.8,53.8
95.3,123.2,72.0,43.2,31.3
153.1,72.7,65.5,67.1,50.6
128.0,101.1,78.5,63.6,57.2
96.2,95.1,60.8,62.1,40.1
78.4,110.8,87.2,83.2,50.2
83.7,65.4,75.8,46.2,34.2
60.5,124.0,68.2,52.9,35.6
163.9,88.4,82.1,63.2,40.1
61.9,124.6,101.3,43.3,48.5
