20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
104.4,136.1,61.8,43.4,31.1
109.5,137.8,74.9,63.3,18.0
63.1,80.1,58.3,49.8,17.0
80.8,97.5,69.3,47.8,15.5
80.2,76.5,47.0,44.1,43.6
109.3,81.9,77.3,59.4,15.8
108.3,68.3,46.2,78.7,22.5
115.4,66.9,70.2,61.3,24.7
86.7,132.7,58.6,45.6,20.2
119.4,89.7,83.6,65.4,40.4
79.0,85.8,67.1,56.8,21.1
124.0,139.3,39.7,74.2,13.8
194.6,98.3,80.5,39.7,37.2
43.0,125.0,57.7,46.0,32.6
97.9,133.8,43.9,36.4,24.6
133.7,77.3,86.6,50.6,30.5
129.8,107.2,61.0,74.3,19.0
19.6,96.2,46.2,52.5,19.5
75.4,54.9,72.7,61.9,16.1
104.2,79.3,59.9,70.2,23.1
152.6,34.5,65.1,51.3,24.1
57.8,80.1,69.5,90.3,45.3
128.2,60.4,38.3,34.7,52.3
111.5,109.5,66.6,66.2,27.4
184.3,96.1,90.1,52.3,26.1
162.8,85.3,70.1,51.4,26.2
90.7,119.5,90.3,33.2,22.0
63.4,87.1,67.4,50.5,14.1
80.8,97.9,58.8,59.4,13.5
84.3,58.9,60.9,56.2,11.3
110.3,64.7,50.8,79.3,22.2
227.4,81.2,74.6,41.9,50.9
95.3,95.5,50.4,57.9,13.6
111.2,68.4,82.6,57.9,25.9
87.6,72.7,94.1,36.7,20.2
117.2,101.4,36.5,52.2,28.1
93.4,71.8,60.7,36.1,46.8
154.4,87.2,61.5,54.9,18.9
128.5,141.6,66.7,51.7,22.6
84.1,84.1,88.4,35.7,16.1
102.4,96.8,48.0,75.8,28.9
103.9,112.2,51.7,59.6,19.9
82.3,80.9,57.7,73.1,19.4
91.3,114.4,62.8,51.1,23.9
103.1,107.0,58.8,66.2,19.5
159.6,70.4,74.0,59.2,18.0
107.4,89.5,81.3,49.0,16.8
108.4,73.3,60.7,29.3,42.7
123.1,161.4,55.6,61.9,21.3
110.6,86.3,58.7,45.2,17.4
27.1,129.9,53.4,65.3,26.3
182.8,77.8,73.7,46.0,16.3
111.0,66.7,69.7,53.8,18.7
115.1,87.5,103.8,42.6,32.3
48.8,31.8,77.9,66.8,25.1
100.5,119.4,52.3,43.4,23.3
104.3,119.0,47.2,77.1,24.3
80.8,66.8,77.1,66.0,17.5
163.6,35.0,57.5,22.4,29.7
109.8,120.2,80.3,72.4,35.7
80.5,113.9,73.8,55.2,40.8
101.1,73.3,84.0,67.2,26.9
115.1,70.2,67.2,67.1,54.9
153.6,89.5,74.1,69.0,29.1
87.4,81.1,62.4,48.5,11.5
120.1,85.1,35.3,75.3,31.7
118.7,97.3,59.1,43.4,23.4
89.8,87.9,73.3,29.3,15.3
90.4,99.9,100.1,43.8,29.2
79.6,110.3,53.2,43.8,28.5
87.1,71.1,106.8,79.2,21.2
42.4,139.2,44.7,45.5,32.0
78.1,78.1,56.6,69.0,36.2
95.9,86.8,64.4,54.0,16.3
99.4,49.4,72.0,34.1,31.6
159.2,99.3,56.9,91.0,14.7
82.2,116.4,83.5,48.7,43.3
126.1,81.5,86.8,47.1,18.2
125.1,87.2,78.7,52.9,12.4
154.0,90.7,68.1,48.6,24.1
132.9,88.1,53.2,39.9,14.4
128.8,101.7,68.9,64.5,33.9
124.2,111.0,87.4,36.5,21.3
72.7,114.2,73.2,57.0,16.0
100.7,88.2,69.6,37.9,22.0
94.0,18.1,88.8,34.3,16.7
91.3,73.7,97.5,61.3,17.1
83.8,60.5,76.6,50.9,17.3
141.5,110.8,74.6,76.2,26.4
91.1,81.4,62.3,64.5,15.8
84.7,94.6,69.9,59.3,16.1
135.0,78.7,78.6,51.0,30.7
126.1,108.8,67.0,50.4,38.4
257.7,101.7,50.0,30.3,36.7
66.9,88.8,25.2,59.6,53.7
125.8,70.0,77.6,51.7,11.7
170.5,85.5,33.3,44.1,40.3
139.4,103.9,79.5,58.1,20.6
139.7,88.4,94.4,51.1,22.3
98.4,69.1,53.2,53.7,42.7
80.9,133.9,71.0,83.1,28.6
152.2,99.5,79.2,58.4,11.6
186.7,54.8,82.3,58.6,31.7
105.6,78.0,53.9,52.7,16.8
109.5,69.9,105.5,58.0,18.7
105.9,115.5,54.9,67.9,34.3
61.4,68.4,63.3,45.6,21.5
34.8,78.3,75.0,54.2,17.6
77.1,84.5,73.2,88.8,15.6
122.9,63.5,98.0,21.0,24.1
94.8,85.5,74.8,73.3,14.7
67.2,59.8,67.9,44.1,15.5
94.8,124.8,75.6,74.9,35.3
117.5,69.3,55.6,52.5,25.5
124.5,60.8,87.9,56.8,24.4
124.9,67.2,76.5,53.3,13.2
81.2,91.6,89.4,44.1,47.3
